rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
173,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,157,140,"1412426"
174,"spotify:track:3GSMdtJphymHEsR8K9jT5Q","León Larregui","Locos","Universal Music Mexico",56,-1,372,"1408369"
175,"spotify:track:0zLA16D7GXoT8K7XFaiCv3","Tito Double P, Armenta","TU SI","2024 Double P Records",30,145,36,"1402191"
176,"spotify:track:59IzIYjjHoYqs6SLioYrcI","Los Alegres Del Barranco","El Del Palenque","Los Alegres Del Barranco Corp",54,156,13,"1401542"
177,"spotify:track:3UZSZV80iBxSeEOpXgO4FD","Fuerza Regida","CHAKA","Rancho Humilde/Street Mob Records/Sony Music Latin",176,179,5,"1400819"
178,"spotify:track:61vlMpyFxXmxvahvA7Bi3z","Calle 24, Chino Pacas, Fuerza Regida","QUE ONDA","WEA Latina",1,169,95,"1398919"
179,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",1,161,97,"1396688"
180,"spotify:track:6UtWwuheJr5LLDeVypPNx7","Fuerza Regida","EXCESOS","Rancho Humilde/Street Mob Records",38,196,56,"1395292"
181,"spotify:track:5nzEilkVhvnCD0xpW3raTy","Caifanes","No Dejes Que...","RCA Records Label",98,182,11,"1394933"
182,"spotify:track:3pJfnBjO3kjudEchcPEDxS","Caifanes","Afuera","RCA Records Label",82,152,119,"1393238"
183,"spotify:track:28UP90XhjCovLtieduYr9P","Mon Laferte, Bunbury","Mi Buen Amor","Universal Music Mexico",55,-1,89,"1391139"
184,"spotify:track:4PpuZIMmeng6qPicveSI22","Jósean Log","Beso","Jósean Log",131,175,19,"1390604"
185,"spotify:track:1GtIK8iINes4gNt06F60NU","Alfredo Olivas","Vete","Fonovisa",28,199,102,"1389511"
186,"spotify:track:1UL2Sn9KX8StSDOp8ZEAOC","Doble ONE Flow Letal","Mi Kryptonita","CUELLO BLANCO",25,-1,63,"1389335"
187,"spotify:track:3HOKxuTDmNVmIlCIpBiD8m","Peso Pluma, Jasiel Nuñez","LAGUNAS","Double P Records",12,-1,82,"1382346"
188,"spotify:track:3IQulMlnptSOhfblnvFuvN","Julieta Venegas","A Donde Va El Viento (Canción de la Serie Original de Prime)","Amazon Content Services, LLC",188,-1,1,"1381144"
189,"spotify:track:1OhT39hHs7Hi6sFNaIpcjJ","Standly, Yeri Mua","Chaparrita","Standly",67,141,15,"1379186"
190,"spotify:track:4DnrAI8WyUY6gkOwl8GlPN","Alleh, Yorghaki","capaz (merengueton)","CONMUER LLC",63,160,25,"1375423"
191,"spotify:track:1EZk1gal98tb4lNI862KzO","Natanael Cano","Pacas De Billetes","WEA Latina",18,181,102,"1372267"
192,"spotify:track:4jC9blSAq4KNgejoNeQgwA","El Bogueto, Yeri Mua, Uzielito Mix","Nena Moxita","Candela Music",40,-1,13,"1370857"
193,"spotify:track:7mXuWTczZNxG5EDcjFEuJR","Peso Pluma, Gabito Ballesteros, Junior H","LADY GAGA","Double P Records",1,183,100,"1369702"
194,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",119,-1,163,"1369239"
195,"spotify:track:3qGkFQOEJ0w0SqnAXFeG2v","La Adictiva","Después de Ti, ¿Quién?","Sony Music Latin",76,-1,54,"1368635"
196,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",73,146,6,"1365626"
197,"spotify:track:4ZzxVQZcZWcLjfiOA3hRH8","RØZ, Natt Calma, Mau Moctezuma","CORA DE HIELO","WM Mexico",97,134,12,"1360596"
198,"spotify:track:4waqcUQWdj0yH26STWl2Rq","La Oreja de Van Gogh","Rosas","Columbia",36,184,137,"1358474"
199,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",22,171,25,"1356345"
200,"spotify:track:5iuGn3RXvfvHIyIe8fyxBE","Bobby Pulido","Se Murió De Amor","Capitol Latin",200,-1,1,"1350881"
